English Term,中文,Simple English,中文小白理解,Module/Topic,Source Raw File
Code Review,代码审查,Human examination of code quality and risks.,人工查看代码质量和风险。,07 / Code Generation,07-code-generation.md
Embedding,嵌入向量,A learned numeric representation that captures useful relationships between items.,把文字、图片等内容变成一串能比较相似度的数字。,08 / Embeddings,01-deep-learning.md; 01-unsupervised-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-vision-foundation-models.md; 04-pre-training.md; 08-chunking.md; 08-embeddings.md; 08-grounding.md; 08-rag.md; 08-reranking.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-database.md; 08-vector-search.md; 13-model-types-families.md
Embedding Model,嵌入模型,A model that converts an item into a vector.,专门把文字、图片等变成向量的模型。,08 / Embeddings,08-embeddings.md; 08-rag.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-database.md; 08-vector-search.md; 13-model-types-families.md
Vector Representation,向量表示,A representation stored as a vector.,用一串数字表示文字、图片或其他对象。,08 / Embeddings,02-attention.md; 08-embeddings.md; 08-vector-database.md; 08-vector-search.md; 19-data-technologies.md
Vector,向量,A list of numbers representing an item.,一串按顺序排列、用来表示对象的数字。,08 / Embeddings,01-deep-learning.md; 01-unsupervised-learning.md; 03-foundation-models.md; 08-embeddings.md; 08-rag.md; 08-reranking.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-database.md; 08-vector-search.md
Vector Database,向量数据库,A database designed to store and search vector representations.,专门保存和查找嵌入向量的数据库。,08 / Vector Database,03-foundation-models.md; 08-chunking.md; 08-embeddings.md; 08-grounding.md; 08-rag.md; 08-retrieval.md; 08-vector-database.md; 08-vector-search.md; 19-data-technologies.md
Vector Index,向量索引,An index organized to search vectors.,专门帮助查找向量的索引。,08 / Vector Database,08-retrieval.md; 08-vector-database.md; 08-vector-search.md
Vector Search,向量搜索,Searching for items whose vectors are close to a query vector.,按内容的数字表示寻找相似资料。,08 / Vector Search,08-embeddings.md; 08-grounding.md; 08-rag.md; 08-reranking.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-database.md; 08-vector-search.md; 19-data-technologies.md
Semantic Search,语义搜索,Search that matches meaning rather than only exact words.,理解问题意思后寻找相关内容，不只看字面是否相同。,08 / Semantic Search,03-foundation-models.md; 08-chunking.md; 08-embeddings.md; 08-rag.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-search.md
Search,搜索,Looking through a collection to find possible matches.,在资料集合里找可能相关的内容。,08 / Retrieval,07-image-generation.md; 07-text-generation.md; 08-chunking.md; 08-embeddings.md; 08-rag.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-database.md; 08-vector-search.md; 09-agent-loop.md; 09-planning.md; 11-guardrails.md; 13-model-types-families.md; 14-general-agents-computer-use.md; 19-product-services.md
Search Query,搜索查询,The request used to find relevant information.,用来查资料的问题或搜索内容。,08 / Retrieval,03-foundation-models.md; 08-chunking.md; 08-rag.md; 08-semantic-search.md; 09-planning.md
Keyword Search,关键词搜索,Search based mainly on literal terms.,主要按词面是否出现来查找。,08 / Retrieval,08-grounding.md; 08-rag.md; 08-reranking.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-search.md
Hybrid Search,混合搜索,Search combining lexical and vector retrieval.,把关键词搜索和向量搜索结合起来。,08 / Semantic Search,08-reranking.md; 08-retrieval.md; 08-vector-search.md
Similarity Search,相似度搜索,Finding items most similar to a query representation.,找和当前问题最相似的内容。,08 / Retrieval,03-foundation-models.md; 08-vector-database.md; 08-vector-search.md
Retrieval,检索,Finding and returning information relevant to a query.,从资料库里找出并取回和问题有关的资料。,08 / Retrieval,01-artificial-intelligence.md; 01-machine-learning.md; 02-attention.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-parameters.md; 04-pre-training.md; 04-prompting-vs-rag-vs-fine-tuning.md; 05-context-window.md; 06-context-engineering.md; 06-prompt-design.md; 07-generative-ai.md; 07-image-generation.md; 07-text-generation.md; 08-chunking.md; 08-embeddings.md; 08-grounding.md; 08-rag.md; 08-reranking.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-database.md; 08-vector-search.md; 11-hallucination.md; 12-continuous-improvement.md; 13-model-types-families.md; 19-data-technologies.md
Retriever,检索器,A component that retrieves candidate information.,工作流中负责找回候选资料的组件。,08 / Retrieval,03-foundation-models.md; 08-reranking.md; 08-retrieval.md; 16-ai-workflow-platforms.md
Retrieval-Augmented Generation (RAG),检索增强生成（RAG）,A system that retrieves information and gives it to a model before the model answers.,先查资料，再把资料交给模型回答。,08 / Rag,01-artificial-intelligence.md; 02-attention.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 04-pre-training.md; 04-prompting-vs-rag-vs-fine-tuning.md; 05-context-window.md; 06-context-engineering.md; 07-text-generation.md; 08-chunking.md; 08-embeddings.md; 08-grounding.md; 08-rag.md; 08-reranking.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-database.md; 08-vector-search.md; 10-model-serving.md; 11-hallucination.md; 12-continuous-improvement.md; 15-how-agents-are-built.md; 16-ai-workflow-platforms.md; 16-automation-platforms.md; 19-data-technologies.md
Reranking,重排序,Reordering retrieved results with a stronger relevance model.,先找出候选资料，再用更精细的模型重新排顺序。,08 / Reranking,03-foundation-models.md; 08-embeddings.md; 08-grounding.md; 08-rag.md; 08-reranking.md; 08-retrieval.md; 08-vector-search.md
Reranker,重排序器;重排模型,A component that examines candidates and orders them again.,专门检查候选结果并重新排序的组件或模型。,08 / Reranking,08-rag.md; 08-reranking.md
Cross-Encoder,交叉编码器,A model that reads a query and candidate together to score relevance.,把问题和候选内容一起读后再打相关性分的模型。,08 / Reranking,08-embeddings.md; 08-reranking.md; 08-vector-search.md
Bi-Encoder,双编码器,A model that encodes query and items separately for efficient retrieval.,分别编码问题和内容、适合快速检索的模型。,08 / Reranking,08-embeddings.md; 08-reranking.md; 08-vector-search.md
Chunk,块;分块内容,A smaller piece of content used as a retrieval unit.,从大资料中切出来、以后可以被找回的一小段内容。,08 / Chunking,03-foundation-models.md; 08-chunking.md; 08-embeddings.md; 08-grounding.md; 08-rag.md; 08-retrieval.md; 08-vector-database.md
Chunking,分块,Splitting documents into smaller pieces for storage or retrieval.,把长文档切成适合保存和检索的小段。,08 / Chunking,03-foundation-models.md; 08-chunking.md; 08-embeddings.md; 08-grounding.md; 08-rag.md; 08-retrieval.md
Knowledge Base,知识库,An organized collection of information for retrieval.,集中保存、供系统查找的知识资料。,08 / Rag,03-foundation-models.md; 03-parameters.md; 04-prompting-vs-rag-vs-fine-tuning.md; 08-grounding.md; 08-rag.md
Document Corpus,来源集合;资料集合,A collection searched for useful information.,系统用来查找资料的一大批来源。,08 / Rag,03-foundation-models.md; 03-large-language-models.md; 04-pre-training.md; 08-embeddings.md; 08-rag.md; 08-reranking.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-search.md
Grounding,事实接地,Connecting a model answer to supplied external evidence.,让回答有外部资料依据，而不是完全凭模型记忆生成。,08 / Grounding,03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 04-prompting-vs-rag-vs-fine-tuning.md; 07-text-generation.md; 08-grounding.md; 08-rag.md; 08-retrieval.md; 08-vector-search.md; 11-deployment-readiness.md; 11-evaluation.md; 11-hallucination.md
Groundedness,依据一致性,How well an answer is supported by its context.,答案和给定资料是否一致、有依据。,08 / Grounding,03-foundation-models.md; 08-rag.md; 11-hallucination.md
Faithfulness,忠实性,Whether an explanation reflects the actual computation,解释是否真实反映模型计算过程,08 / Grounding,02-attention.md; 03-foundation-models.md; 08-rag.md; 11-hallucination.md
Citation,引用,A reference that points to the source supporting a claim.,在答案旁边标出这句话依据的资料来源。,08 / Grounding,03-foundation-models.md; 03-large-language-models.md; 08-grounding.md; 08-rag.md; 08-retrieval.md; 14-ai-assistants-coding-tools.md
Source Attribution,来源归因,Identifying which source contributed to an answer.,说明回答中哪些内容来自哪个来源。,08 / Grounding,03-foundation-models.md; 08-grounding.md; 08-rag.md; 08-retrieval.md; 11-hallucination.md
Context Retrieval,上下文检索,Retrieving information to place into the context.,为当前窗口寻找并加入相关资料。,08 / Rag,05-context-window.md
Top-k Retrieval,Top-k 检索,Returning the highest-ranked k candidates.,只返回排序最靠前的 k 个候选。,08 / Retrieval,08-grounding.md; 08-retrieval.md; 08-semantic-search.md
Retrieval Pipeline,检索管线,A sequence of retrieval operations.,把查询、搜索、排序、过滤串起来的处理管线。,08 / Retrieval,04-prompting-vs-rag-vs-fine-tuning.md; 08-rag.md; 08-retrieval.md; 08-semantic-search.md
Query Rewriting,查询改写,Rephrase a query to improve retrieval.,换一种说法让搜索更容易找到资料。,08 / Retrieval,08-rag.md
Approximate Nearest Neighbor (ANN),近似最近邻,A fast method for finding nearly closest vectors.,用近似方式快速找最接近的向量。,08 / Vector Search,02-neural-networks.md; 08-vector-search.md
AI Agent,AI 智能体,"A system that uses a model, tools, and a control loop to pursue a goal.",能理解目标、调用工具并多步行动的 AI 系统。,09 / AI Agent,01-machine-learning.md; 01-reinforcement-learning.md; 03-foundation-models.md; 09-ai-agent.md; 09-human-in-the-loop.md; 09-mcp.md; 09-memory-state.md; 09-multi-agent-systems.md; 09-planning.md; 09-skills-plugins.md; 09-tool-calling.md; 10-api.md; 10-ollama.md; 10-vllm.md; 11-guardrails.md; 11-permissions-safety.md; 11-prompt-injection.md; 12-adoption.md; 12-technical-scoping.md; 13-major-ai-providers.md; 14-ai-assistants-coding-tools.md; 14-general-agents-computer-use.md; 15-agent-frameworks.md; 15-how-agents-are-built.md; 16-ai-workflow-platforms.md; 16-automation-platforms.md
Agent Loop,智能体循环,"A repeated cycle in which an agent observes, reasons, acts, and checks the result.",智能体反复观察、思考、行动，再检查结果的循环。,09 / Agent Loop,01-reinforcement-learning.md; 09-agent-loop.md; 09-ai-agent.md; 09-human-in-the-loop.md; 09-memory-state.md; 09-multi-agent-systems.md; 09-planning.md; 09-tool-calling.md; 14-ai-assistants-coding-tools.md; 14-general-agents-computer-use.md; 15-agent-frameworks.md; 15-how-agents-are-built.md
Agent-Environment Interaction,智能体-环境交互,The two-way process between the learner and its world.,智能体行动、环境回应的来回过程。,09 / Agent Loop,01-reinforcement-learning.md
Agent System,智能体系统,"A system combining an agent, model, tools, and a workflow.",把智能体、模型、工具和工作流组合起来的系统。,09 / AI Agent,14-ai-assistants-coding-tools.md; 15-agent-frameworks.md; 15-how-agents-are-built.md
Agent Goal,用户目标,What the user wants the workflow to accomplish.,用户希望流程完成的事情。,09 / AI Agent,09-human-in-the-loop.md; 14-general-agents-computer-use.md; 15-how-agents-are-built.md
Agent State,智能体状态,The current task information an agent needs to continue its work.,记录智能体目前做到哪一步、掌握什么信息。,09 / Memory State,01-machine-learning.md; 01-reinforcement-learning.md; 02-rnn-lstm.md; 03-foundation-models.md; 05-kv-cache.md; 06-context-engineering.md; 06-prompt-design.md; 09-agent-loop.md; 09-memory-state.md; 09-multi-agent-systems.md; 09-planning.md; 14-general-agents-computer-use.md; 15-agent-frameworks.md; 15-how-agents-are-built.md; 19-data-technologies.md
Agent Memory,智能体记忆,Information retained so an agent can use it later in a task or across sessions.,智能体保存下来、之后还能使用的资料。,09 / Memory State,01-deep-learning.md; 03-foundation-models.md; 03-large-language-models.md; 05-context-window.md; 06-context-engineering.md; 09-ai-agent.md; 09-memory-state.md; 09-multi-agent-systems.md; 09-planning.md; 10-gpu-vram-unified-memory.md; 10-local-vs-cloud.md; 10-model-serving.md; 10-quantization.md; 10-runtime-constraints.md; 10-vllm.md; 11-hallucination.md; 13-open-closed-local-models.md; 15-agent-frameworks.md; 15-how-agents-are-built.md; 16-ai-workflow-platforms.md
Short-Term Memory,短期记忆,Context retained within a current interaction or task.,当前对话或任务中暂时保留的信息。,09 / Memory State,03-foundation-models.md
Long-Term Memory,长期记忆,Information retained across interactions or over time.,跨对话、跨时间保留下来的信息。,09 / Memory State,03-foundation-models.md; 05-kv-cache.md
Planning,规划,Breaking a goal into steps and deciding how to reach it.,把大目标拆成步骤并安排完成顺序。,09 / Planning,03-foundation-models.md; 07-video-generation.md; 09-agent-loop.md; 09-ai-agent.md; 09-multi-agent-systems.md; 09-planning.md; 15-how-agents-are-built.md; 18-developer-platforms.md
Task Decomposition,任务分解,Break a task into manageable steps.,把任务拆成容易处理的步骤。,09 / Planning,03-foundation-models.md; 09-planning.md
Plan,计划,A proposed sequence of steps for reaching a goal.,为达到目标而安排的一串步骤。,09 / Planning,09-ai-agent.md; 09-planning.md; 10-runtime-constraints.md; 11-deployment-readiness.md; 14-ai-assistants-coding-tools.md; 14-general-agents-computer-use.md; 15-how-agents-are-built.md; 18-web-cloud-platforms.md
Reasoning,推理,Work through information to reach a conclusion.,处理信息并得出结论。,09 / Planning,03-foundation-models.md; 03-multimodal-models.md; 05-inference.md; 07-multimodal-ai.md; 09-planning.md; 11-benchmarks.md; 13-model-types-families.md; 15-how-agents-are-built.md
Tool Calling,工具调用,"Letting a model request an external function, API, or tool.",让模型请求外部程序、接口或工具帮它做事。,09 / Tool Calling,03-foundation-models.md; 03-multimodal-models.md; 05-context-window.md; 06-structured-outputs.md; 06-system-prompts.md; 07-code-generation.md; 08-grounding.md; 09-agent-loop.md; 09-ai-agent.md; 09-human-in-the-loop.md; 09-mcp.md; 09-multi-agent-systems.md; 09-planning.md; 09-skills-plugins.md; 09-tool-calling.md; 10-api.md; 11-failure-handling.md; 11-functional-tests.md; 11-permissions-safety.md; 11-prompt-injection.md; 12-integration.md; 12-technical-scoping.md; 14-ai-assistants-coding-tools.md; 14-general-agents-computer-use.md; 15-how-agents-are-built.md
Function Calling,函数调用,A structured request from a model to run a named function with arguments.,模型按约定的函数名和参数请求程序执行动作。,09 / Tool Calling,03-foundation-models.md; 03-large-language-models.md
Tool Use,工具使用,Letting a model call external capabilities.,让模型调用搜索、计算或其他外部工具。,09 / Tool Calling,01-machine-learning.md; 03-foundation-models.md; 03-large-language-models.md; 09-agent-loop.md; 09-ai-agent.md; 11-prompt-injection.md
Tool,工具,A defined function or service that an application can invoke.,应用可以调用的、事先定义好的功能或服务。,09 / Tool Calling,01-artificial-intelligence.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 06-context-engineering.md; 06-prompt-design.md; 09-agent-loop.md; 09-ai-agent.md; 09-mcp.md; 09-planning.md; 09-skills-plugins.md; 09-tool-calling.md; 10-api.md; 10-vllm.md; 11-failure-modes.md; 11-guardrails.md; 11-permissions-safety.md; 11-prompt-injection.md; 12-adoption.md; 12-continuous-improvement.md; 12-integration.md; 12-technical-scoping.md; 14-general-agents-computer-use.md; 15-agent-frameworks.md; 15-how-agents-are-built.md; 16-ai-workflow-platforms.md; 17-data-api-authentication.md; 19-backend-technologies.md
Tool Schema,工具模式,The formal description of a tool's inputs and outputs.,说明工具需要什么输入、会返回什么结果的结构。,09 / Tool Calling,03-foundation-models.md
Tool Result,工具结果,The output returned after a tool executes.,工具执行后返回的输出。,09 / Tool Calling,03-foundation-models.md; 05-context-window.md; 06-context-engineering.md; 06-prompt-design.md; 06-system-prompts.md; 08-grounding.md; 09-planning.md; 09-tool-calling.md; 11-prompt-injection.md
Action,行动;动作,A step the system takes after deciding.,系统做出决定后真正执行的一步。,09 / Agent Loop,01-artificial-intelligence.md; 01-machine-learning.md; 01-reinforcement-learning.md; 03-foundation-models.md; 09-agent-loop.md; 09-ai-agent.md; 09-human-in-the-loop.md; 09-mcp.md; 09-planning.md; 09-skills-plugins.md; 09-tool-calling.md; 10-api.md; 11-failure-modes.md; 11-functional-tests.md; 11-guardrails.md; 11-permissions-safety.md; 12-continuous-improvement.md; 15-how-agents-are-built.md; 16-ai-workflow-platforms.md; 16-automation-platforms.md; 17-frontend-backend.md
Observation,观察结果;观测,Information about the result or current state after an action.,行动后得到的结果或状态信息。,09 / Agent Loop,01-unsupervised-learning.md; 09-agent-loop.md; 09-ai-agent.md; 09-human-in-the-loop.md; 09-planning.md; 12-workflow-discovery.md; 15-how-agents-are-built.md
Human-in-the-Loop (HITL),人在回路（HITL）,"A workflow in which a person reviews, approves, corrects, or completes AI work.",关键步骤保留人工检查、批准或接管。,09 / Human in the Loop,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 03-multimodal-models.md; 04-preference-learning-rlhf.md; 04-training-data.md; 05-inference.md; 08-grounding.md; 09-agent-loop.md; 09-ai-agent.md; 09-human-in-the-loop.md; 09-multi-agent-systems.md; 09-planning.md; 09-skills-plugins.md; 11-failure-handling.md; 11-failure-modes.md; 11-guardrails.md; 11-permissions-safety.md; 11-prompt-injection.md; 12-adoption.md; 12-deployment.md; 12-integration.md; 12-workflow-discovery.md; 14-ai-assistants-coding-tools.md
Human Oversight,人工监督,Ongoing human attention to an AI system or its actions.,人持续关注 AI 的行为和结果。,09 / Human in the Loop,03-multimodal-models.md; 04-preference-learning-rlhf.md; 04-training-data.md; 05-inference.md; 08-grounding.md; 09-ai-agent.md; 09-human-in-the-loop.md; 09-planning.md; 11-permissions-safety.md; 12-adoption.md; 12-workflow-discovery.md; 14-general-agents-computer-use.md
Approval Gate,审批闸门,A gate that requires approval before an action continues.,必须获得批准后才能继续的流程关口。,09 / Human in the Loop,09-human-in-the-loop.md; 11-guardrails.md; 11-permissions-safety.md; 14-general-agents-computer-use.md
Multi-Agent System,多智能体系统,A system in which multiple agents coordinate or divide work.,多个智能体分工、协作或互相检查的系统。,09 / Multi-Agent Systems,09-multi-agent-systems.md; 15-how-agents-are-built.md
Agent Collaboration,智能体协作,Several agents working together on a task.,多个智能体一起完成一个任务。,09 / Multi-Agent Systems,15-agent-frameworks.md; 15-how-agents-are-built.md
Model Context Protocol (MCP),模型上下文协议（MCP）,A protocol for connecting models or agents with tools and external context.,让模型或智能体按统一方式连接工具和外部资料的协议。,09 / Model Context Protocol (MCP),09-ai-agent.md; 09-human-in-the-loop.md; 09-mcp.md; 09-memory-state.md; 09-multi-agent-systems.md; 09-skills-plugins.md; 10-api.md; 15-how-agents-are-built.md
MCP Server,MCP 服务器,"A server that exposes approved tools, resources, or prompts through MCP.",按 MCP 提供获准工具、资源或提示的服务器。,09 / Model Context Protocol (MCP),09-mcp.md
MCP Client,MCP 客户端,A client inside the host that communicates with an MCP server.,位于主机应用内部、负责和 MCP 服务器通信的客户端。,09 / Model Context Protocol (MCP),09-mcp.md
Skill,技能,A reusable packaged capability an AI system can use.,AI 可以反复使用的一套打包能力。,09 / Skills / Plugins,09-skills-plugins.md
Plugin,插件,An installed or connected package that adds capability to a system.,安装或接入后给系统增加能力的小组件。,09 / Skills / Plugins,09-skills-plugins.md; 16-ai-workflow-platforms.md; 19-backend-technologies.md
Agent Framework,智能体框架,"Software components that help developers build, orchestrate, and run agents.",帮助开发者组装、编排和运行智能体的软件框架。,15 / Agent Frameworks,15-agent-frameworks.md; 15-how-agents-are-built.md; 16-ai-workflow-platforms.md
Workflow Orchestration,编排,"Coordinate models, tools, steps, and state into a workflow.",把模型、工具、步骤和状态组织起来协同工作。,09 / Agent Loop,03-foundation-models.md; 09-agent-loop.md; 09-human-in-the-loop.md; 09-skills-plugins.md; 15-agent-frameworks.md; 15-how-agents-are-built.md; 16-ai-workflow-platforms.md
Application Programming Interface (API),应用程序编程接口（API）,A defined way for software systems to request data or actions from one another.,不同软件按约定方式互相请求数据或动作的入口。,10 / Api,01-deep-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 07-image-generation.md; 08-vector-search.md; 09-human-in-the-loop.md; 09-mcp.md; 10-api.md; 10-local-vs-cloud.md; 10-model-serving.md; 10-ollama.md; 10-vllm.md; 12-deployment.md; 12-integration.md; 13-major-ai-providers.md; 13-open-closed-local-models.md; 14-general-agents-computer-use.md; 15-how-agents-are-built.md; 16-ai-workflow-platforms.md; 16-automation-platforms.md; 17-data-api-authentication.md; 17-frontend-backend.md; 18-backend-data-platforms.md; 18-web-cloud-platforms.md; 19-backend-technologies.md; 19-product-services.md
API Endpoint,API 端点;接口地址,A network-accessible location for a particular API operation.,程序实际发送请求的接口地址。,10 / Api,01-deep-learning.md; 05-inference.md; 10-api.md; 10-model-serving.md; 19-backend-technologies.md
API Request,API 请求,A request sent through an API to another system.,按接口规则发给另一个系统的请求。,10 / Api,05-inference.md; 10-api.md; 10-model-serving.md; 10-vllm.md; 17-data-api-authentication.md; 19-product-services.md
API Response,API 响应,A result returned through an API.,通过 API 返回给应用的结果。,10 / Api,10-api.md; 10-model-serving.md; 17-data-api-authentication.md
Software Development Kit (SDK),软件开发工具包,A set of tools and libraries for building with a platform.,帮助开发者接入平台的一组工具和代码库。,10 / Api,16-ai-workflow-platforms.md; 18-backend-data-platforms.md
Model Serving,模型服务,Making a model available to applications through a running service.,把模型放进持续运行的服务，供应用调用。,10 / Model Serving,01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 03-large-language-models.md; 05-inference.md; 05-kv-cache.md; 07-image-generation.md; 10-gpu-vram-unified-memory.md; 10-local-vs-cloud.md; 10-model-serving.md; 10-ollama.md; 10-quantization.md; 10-runtime-constraints.md; 10-vllm.md; 13-open-closed-local-models.md
Inference Server,推理服务器,A server process that performs inference for callers.,为调用方执行推理的服务器程序。,10 / Model Serving,10-vllm.md
Runtime Constraints,运行时约束,Limits that shape how an AI system can run in practice.,AI 系统真正运行时受到的各种限制。,10 / Runtime Constraints,03-foundation-models.md; 10-gpu-vram-unified-memory.md; 10-ollama.md; 10-quantization.md; 10-runtime-constraints.md; 10-vllm.md
GPU,图形处理器（GPU）,"A processor designed for highly parallel numerical computation, often used for AI.",能同时做大量数字计算、常用于训练和推理的处理器。,"10 / GPU, VRAM & Unified Memory",01-deep-learning.md; 03-large-language-models.md; 04-pre-training.md; 07-image-generation.md; 10-gpu-vram-unified-memory.md; 10-model-serving.md; 10-quantization.md; 10-vllm.md
CPU,中央处理器(CPU),General-purpose hardware that can also run model computation.,"通用计算处理器,也可以运行模型。","10 / GPU, VRAM & Unified Memory",03-large-language-models.md; 10-gpu-vram-unified-memory.md; 10-model-serving.md; 10-quantization.md
VRAM,显存（VRAM）,"Memory on a GPU used to hold model weights, activations, and data.",GPU 上用来放模型和计算数据的内存。,"10 / GPU, VRAM & Unified Memory",05-kv-cache.md; 07-image-generation.md; 10-gpu-vram-unified-memory.md; 10-vllm.md
Unified Memory,统一内存,A shared memory pool that can be used by the CPU and GPU instead of separate system RAM and VRAM.,CPU 和 GPU 可以共同使用的一块内存，不必完全分成两套。,"10 / GPU, VRAM & Unified Memory",10-gpu-vram-unified-memory.md
Memory Footprint,内存占用,The amount of memory needed to load and run a model.,加载和运行模型需要占用的内存大小。,"10 / GPU, VRAM & Unified Memory",03-large-language-models.md; 03-parameters.md; 05-kv-cache.md; 10-quantization.md; 10-runtime-constraints.md; 10-vllm.md
Compute,计算资源 / 算力,Processing capacity used for training or inference.,训练和推理所需的计算能力。,"10 / GPU, VRAM & Unified Memory",01-deep-learning.md; 03-foundation-models.md; 03-parameters.md; 04-pre-training.md; 04-prompting-vs-rag-vs-fine-tuning.md; 05-inference.md; 05-kv-cache.md; 07-image-generation.md; 08-grounding.md; 10-gpu-vram-unified-memory.md; 10-local-vs-cloud.md; 10-model-serving.md; 10-quantization.md; 10-runtime-constraints.md; 13-open-closed-local-models.md
Local AI,本地 AI;本地人工智能,AI whose model inference runs on hardware the user controls.,模型在自己控制的设备或硬件上运行的 AI。,10 / Local AI vs Cloud AI,10-gpu-vram-unified-memory.md; 10-local-vs-cloud.md; 10-ollama.md; 10-quantization.md; 10-runtime-constraints.md; 10-vllm.md; 13-open-closed-local-models.md
Cloud AI,云端 AI;云人工智能,AI whose model inference runs on remote provider infrastructure.,模型在远程服务商基础设施上运行的 AI。,10 / Local AI vs Cloud AI,10-local-vs-cloud.md
Self-Hosted Model,自托管模型,A model operated on infrastructure controlled by the user or organization.,在自己控制的环境中运行和管理的模型。,10 / Local AI vs Cloud AI,13-open-closed-local-models.md; 16-automation-platforms.md
Quantization,量化,Reducing the numeric precision of model values to lower memory or compute cost.,用更少的数字精度保存模型，以减少内存和计算开销。,10 / Quantization,01-deep-learning.md; 03-large-language-models.md; 03-parameters.md; 05-inference.md; 10-gpu-vram-unified-memory.md; 10-model-serving.md; 10-ollama.md; 10-quantization.md; 10-runtime-constraints.md; 10-vllm.md; 13-open-closed-local-models.md
Mixed Precision,混合精度,Using different numerical precisions in different parts.,模型不同部分使用不同精度。,10 / Quantization,10-quantization.md
Numerical Precision,数值精度,How finely a number can be represented.,一个数字能被表示得多细、多准确。,10 / Quantization,03-parameters.md; 10-quantization.md; 13-open-closed-local-models.md
Batch Inference,批量推理,Run inference on multiple inputs together.,一次把多条输入交给模型处理。,10 / Model Serving,05-inference.md
Dynamic Batching,动态批处理,Forming batches from requests that arrive at runtime so the serving system can process them together.,请求陆续到来时，运行中把它们临时凑成一批一起处理。,10 / Model Serving,10-model-serving.md
Continuous Batching,连续批处理,Dynamically adding requests to active batches.,在运行中动态把新请求加入批次。,10 / Vllm,03-large-language-models.md
Latency,延迟,The time a system takes to respond to a request.,从发出请求到得到响应要等多久。,10 / Latency,01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 03-large-language-models.md; 04-prompting-vs-rag-vs-fine-tuning.md; 05-inference.md; 05-kv-cache.md; 05-token.md; 07-image-generation.md; 08-embeddings.md; 08-grounding.md; 08-rag.md; 08-reranking.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-search.md; 09-human-in-the-loop.md; 09-multi-agent-systems.md; 10-gpu-vram-unified-memory.md; 10-latency.md; 10-local-vs-cloud.md; 10-model-serving.md; 10-quantization.md; 10-runtime-constraints.md; 10-tokens-per-second.md; 10-vllm.md; 11-benchmarks.md; 11-deployment-readiness.md; 11-evaluation.md; 12-deployment.md; 12-monitoring.md; 17-deployment-operations.md
Latency Breakdown,延迟分解,Splitting total latency into contributing parts.,把总延迟拆成网络、上下文、模型等部分。,10 / Latency,10-latency.md
Time to First Token (TTFT),首词元时间（TTFT）,The time from sending a request until the first generated token arrives.,发出请求后，看到模型第一个字词需要等多久。,10 / Latency,05-kv-cache.md; 10-latency.md; 10-model-serving.md; 10-tokens-per-second.md
Throughput,吞吐量,The amount of work a system completes in a given period of time.,系统在一段时间内能处理多少请求或数据。,10 / Latency,01-deep-learning.md; 01-machine-learning.md; 02-attention.md; 03-foundation-models.md; 03-large-language-models.md; 04-pre-training.md; 05-inference.md; 05-kv-cache.md; 05-token.md; 07-image-generation.md; 08-embeddings.md; 08-rag.md; 08-reranking.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-search.md; 09-human-in-the-loop.md; 10-latency.md; 10-model-serving.md; 10-quantization.md; 10-runtime-constraints.md; 10-tokens-per-second.md; 10-vllm.md; 12-deployment.md
Tokens per Second (TPS),每秒词元数（TPS）,The number of output tokens a system generates per second.,模型每秒能生成多少个词元。,10 / Tokens per Second,03-large-language-models.md; 04-pre-training.md; 05-inference.md; 05-kv-cache.md; 05-token.md; 10-gpu-vram-unified-memory.md; 10-latency.md; 10-model-serving.md; 10-quantization.md; 10-runtime-constraints.md; 10-tokens-per-second.md; 10-vllm.md
vLLM,vLLM 推理引擎,An inference and serving engine optimized for running large language models.,用于高效运行和提供大语言模型服务的推理引擎。,10 / Vllm,10-model-serving.md; 10-vllm.md; 13-open-closed-local-models.md
Ollama,Ollama 本地运行工具,A tool that makes it convenient to run language models locally.,方便在本地电脑运行语言模型的工具。,10 / Ollama,10-model-serving.md; 10-ollama.md; 10-quantization.md; 10-runtime-constraints.md; 10-vllm.md; 13-open-closed-local-models.md
